,volts,amps,power,sysstatus,timestamp,M_ID
780,13.53,0.018,0.2,11100000_00010000,0.010913849,_M_00005
781,13.52,0.014,0.2,11100000_00010000,0.037783384,_M_00005
782,13.52,0.012,0.2,11100000_00010000,0.071617126,_M_00005
783,13.53,0.012,0.2,11100000_00010000,0.104721546,_M_00005
784,13.53,0.012,0.1,11100000_00010000,0.138788223,_M_00005
785,13.53,0.012,0.2,11100000_00010000,0.17190671,_M_00005
786,13.53,0.014,0.2,11100000_00010000,0.204754114,_M_00005
787,13.53,0.014,0.2,11100000_00010000,0.237670898,_M_00005
788,13.53,0.014,0.2,11100000_00010000,0.270622015,_M_00005
789,13.52,0.014,0.2,11100000_00010000,0.304586887,_M_00005
790,13.52,0.018,0.2,11100000_00010000,0.337573528,_M_00005
791,13.52,0.012,0.2,11100000_00010000,0.371206284,_M_00005
792,13.52,0.016,0.2,11100000_00010000,0.404901028,_M_00005
793,13.53,0.014,0.2,11100000_00010000,0.437878132,_M_00005
794,13.53,0.016,0.2,11100000_00010000,0.470692158,_M_00005
795,13.53,0.016,0.2,11100000_00010000,0.504946709,_M_00005
796,13.53,0.012,0.2,11100000_00010000,0.53775239,_M_00005
797,13.52,-0.01,0.1,10100000_00010000,0.574233055,_M_00005
798,13.53,0.01,0.2,11100000_00010000,0.604878664,_M_00005
799,13.53,0.014,0.2,11100000_00010000,0.637979746,_M_00005
800,13.52,0.014,0.2,11100000_00010000,0.670880318,_M_00005
801,13.53,0.014,0.2,11100000_00010000,0.704612255,_M_00005
802,13.53,0.014,0.2,11100000_00010000,0.738190174,_M_00005
803,13.53,0.016,0.2,11100000_00010000,0.773207426,_M_00005
804,13.53,0.014,0.2,11100000_00010000,0.804873228,_M_00005
805,13.53,0.012,0.2,11100000_00010000,0.83763361,_M_00005
806,13.53,0.014,0.2,11100000_00010000,0.871638298,_M_00005
807,13.53,-0.016,0.2,10100000_00010000,0.9043715,_M_00005
808,13.53,0.012,0.2,11100000_00010000,0.938036203,_M_00005
809,13.53,0.012,0.2,11100000_00010000,0.97220993,_M_00005
810,13.53,0.016,0.2,11100000_00010000,1.004242182,_M_00005
811,13.53,0.014,0.2,11100000_00010000,1.037636757,_M_00005
812,13.53,0.012,0.2,11100000_00010000,1.070866108,_M_00005
813,13.53,0.014,0.2,11100000_00010000,1.104754925,_M_00005
814,13.53,0.016,0.2,11100000_00010000,1.138338804,_M_00005
815,13.53,0.014,0.2,11100000_00010000,1.171215296,_M_00005
816,13.52,0.012,0.2,11100000_00010000,1.203399658,_M_00005
817,13.53,0.014,0.2,11100000_00010000,1.238115311,_M_00005
818,13.52,0.016,0.2,11100000_00010000,1.271042109,_M_00005
819,13.53,0.012,0.2,11100000_00010000,1.304246187,_M_00005
820,13.53,0.014,0.1,11100000_00010000,1.337967873,_M_00005
821,13.44,1.801,22,11100000_00010000,1.371567965,_M_00005
822,13.32,5.107,66.9,11100000_00010000,1.4045825,_M_00005
823,13.21,7.986,104.9,11100000_00010000,1.437594652,_M_00005
824,13.12,9.949,130.6,11100000_00010000,1.471269846,_M_00005
825,13.12,10.022,131.6,11100000_00010000,1.504250288,_M_00005
826,13.12,10.02,131.6,11100000_00010000,1.540772676,_M_00005
827,13.12,10.02,131.6,11100000_00010000,1.570997953,_M_00005
828,13.12,10.022,131.6,11100000_00010000,1.60463357,_M_00005
829,13.12,10.018,131.5,11100000_00010000,1.637579203,_M_00005
830,13.12,10.018,131.5,11100000_00010000,1.671374559,_M_00005
831,13.12,10.018,131.5,11100000_00010000,1.704975128,_M_00005
832,13.12,10.018,131.5,11100000_00010000,1.739927053,_M_00005
833,13.12,10.02,131.6,11100000_00010000,1.770951509,_M_00005
834,13.12,10.02,131.6,11100000_00010000,1.804965734,_M_00005
835,13.12,10.02,131.6,11100000_00010000,1.837979317,_M_00005
836,13.12,10.02,131.5,11100000_00010000,1.871003151,_M_00005
837,13.12,10.02,131.6,11100000_00010000,1.904601336,_M_00005
838,13.12,10.02,131.6,11100000_00010000,1.938955545,_M_00005
839,13.12,10.02,131.6,11100000_00010000,1.970961332,_M_00005
720,13.12,10.02,131.6,11100000_00010000,2.004262686,_M_00005
721,13.12,10.018,131.5,11100000_00010000,2.037109137,_M_00005
722,13.12,10.022,131.6,11100000_00010000,2.071776152,_M_00005
723,13.12,10.018,131.5,11100000_00010000,2.10439992,_M_00005
724,13.12,10.02,131.5,11100000_00010000,2.138614893,_M_00005
725,13.12,10.018,131.6,11100000_00010000,2.171584368,_M_00005
726,13.12,10.022,131.6,11100000_00010000,2.204560995,_M_00005
727,13.12,10.02,131.6,11100000_00010000,2.238161325,_M_00005
728,13.12,10.02,131.6,11100000_00010000,2.271461487,_M_00005
729,13.12,10.018,131.5,11100000_00010000,2.304404259,_M_00005
730,13.12,10.022,131.6,11100000_00010000,2.338163376,_M_00005
731,13.12,10.018,131.5,11100000_00010000,2.371063948,_M_00005
732,13.12,10.018,131.5,11100000_00010000,2.405078173,_M_00005
733,13.12,10.02,131.6,11100000_00010000,2.437925816,_M_00005
734,13.12,10.022,131.6,11100000_00010000,2.470665216,_M_00005
735,13.12,10.022,131.6,11100000_00010000,2.507553577,_M_00005
736,13.12,10.022,131.6,11100000_00010000,2.537592173,_M_00005
737,13.12,10.024,131.6,11100000_00010000,2.570909262,_M_00005
738,13.12,10.02,131.6,11100000_00010000,2.604802847,_M_00005
739,13.12,10.018,131.5,11100000_00010000,2.637717009,_M_00005
740,13.12,10.02,131.6,11100000_00010000,2.670666218,_M_00005
741,13.12,10.02,131.5,11100000_00010000,2.706495523,_M_00005
742,13.12,10.018,131.5,11100000_00010000,2.737519026,_M_00005
743,13.12,10.02,131.5,11100000_00010000,2.771522284,_M_00005
744,13.12,10.02,131.5,11100000_00010000,2.804479599,_M_00005
745,13.12,10.018,131.5,11100000_00010000,2.837495804,_M_00005
746,13.12,10.02,131.6,11100000_00010000,2.870956659,_M_00005
747,13.12,10.02,131.5,11100000_00010000,2.905596495,_M_00005
748,13.12,10.024,131.6,11100000_00010000,2.937605858,_M_00005
749,13.12,10.018,131.5,11100000_00010000,2.971599579,_M_00005
750,13.12,10.02,131.6,11100000_00010000,3.004616499,_M_00005
751,13.12,10.022,131.6,11100000_00010000,3.037624598,_M_00005
752,13.12,10.018,131.5,11100000_00010000,3.071625471,_M_00005
753,13.12,10.022,131.6,11100000_00010000,3.104652405,_M_00005
754,13.12,10.02,131.6,11100000_00010000,3.137651443,_M_00005
755,13.12,10.022,131.5,11100000_00010000,3.171549082,_M_00005
756,13.12,10.022,131.6,11100000_00010000,3.20460701,_M_00005
757,13.12,10.02,131.6,11100000_00010000,3.237609148,_M_00005
758,13.12,10.02,131.5,11100000_00010000,3.271630764,_M_00005
759,13.12,10.018,131.5,11100000_00010000,3.304630041,_M_00005
760,13.12,10.02,131.5,11100000_00010000,3.337655544,_M_00005
761,13.12,10.02,131.6,11100000_00010000,3.371682405,_M_00005
762,13.12,10.02,131.5,11100000_00010000,3.40437007,_M_00005
763,13.12,10.02,131.6,11100000_00010000,3.437286615,_M_00005
764,13.12,10.018,131.5,11100000_00010000,3.473936558,_M_00005
765,13.12,10.022,131.6,11100000_00010000,3.504444838,_M_00005
766,13.12,10.02,131.5,11100000_00010000,3.537343025,_M_00005
767,13.12,10.016,131.5,11100000_00010000,3.571311712,_M_00005
768,13.12,10.02,131.5,11100000_00010000,3.604302645,_M_00005
