,volts,amps,power,sysstatus,timestamp,M_ID
3840,0.03,0.006,0,11100000_00010001,0.009758234,_M_00005
3841,0.03,0.01,0,11100000_00010001,0.019799471,_M_00005
3842,0.03,0.01,0,11100000_00010001,0.039804459,_M_00005
3843,0.03,0.012,0,11100000_00010001,0.059771776,_M_00005
3844,0.03,0.012,0,11100000_00010001,0.069768429,_M_00005
3845,0.03,0.01,0,11100000_00010001,0.089757681,_M_00005
3846,0.03,0.008,0,11100000_00010001,0.109747171,_M_00005
3847,0.03,0.008,0,11100000_00010001,0.119744301,_M_00005
3848,0.03,0.008,0,11100000_00010001,0.139734745,_M_00005
3849,0.03,0.008,0,11100000_00010001,0.159721613,_M_00005
3850,0.03,0.006,0,11100000_00010001,0.169715166,_M_00005
3851,0.03,0.01,0,11100000_00010001,0.189702988,_M_00005
3852,0.03,0.01,0,11100000_00010001,0.209691763,_M_00005
3853,0.03,0.008,0,11100000_00010001,0.219687462,_M_00005
3854,0.03,0.008,0,11100000_00010001,0.239677668,_M_00005
3855,0.03,0.006,0,11100000_00010001,0.259664297,_M_00005
3856,0.03,0.006,0,11100000_00010001,0.269661188,_M_00005
3857,0.03,0.008,0,11100000_00010001,0.289651632,_M_00005
3858,0.03,0.008,0,11100000_00010001,0.309640646,_M_00005
3859,0.03,0.008,0,11100000_00010001,0.319632292,_M_00005
3860,0.03,0.008,0,11100000_00010001,0.339624405,_M_00005
3861,0.03,0.008,0,11100000_00010001,0.35961318,_M_00005
3862,0.03,0.01,0,11100000_00010001,0.369606733,_M_00005
3863,0.03,0.012,0,11100000_00010001,0.389595747,_M_00005
3864,0.03,0.012,0,11100000_00010001,0.409591198,_M_00005
3865,0.03,-0.008,0,10100000_00010001,0.41958046,_M_00005
3866,0.03,-0.008,0,10100000_00010001,0.439571619,_M_00005
3867,0.03,0.008,0,11100000_00010001,0.459560394,_M_00005
3868,0.03,0.008,0,11100000_00010001,0.469553709,_M_00005
3869,0.03,0.008,0,11100000_00010001,0.489545107,_M_00005
3870,0.03,0.008,0,11100000_00010001,0.509533882,_M_00005
3871,0.03,0.008,0,11100000_00010001,0.519531488,_M_00005
3872,0.03,0.01,0,11100000_00010001,0.53951478,_M_00005
3873,0.03,0.008,0,11100000_00010001,0.55950737,_M_00005
3874,0.03,0.008,0,11100000_00010001,0.569500446,_M_00005
3875,0.01,0.008,0,11100000_00010001,0.589492083,_M_00005
3876,0.01,0.008,0,11100000_00010001,0.609480619,_M_00005
3877,0.03,-0.01,0,10100000_00010001,0.619472265,_M_00005
3878,0.03,-0.01,0,10100000_00010001,0.639468193,_M_00005
3879,0.03,0.01,0,11100000_00010001,0.659452438,_M_00005
3880,0.03,0.01,0,11100000_00010001,0.669447184,_M_00005
3881,0.03,0.008,0,11100000_00010001,0.689437389,_M_00005
3882,0.03,0.006,0,11100000_00010001,0.709427595,_M_00005
3883,0.03,0.006,0,11100000_00010001,0.719418764,_M_00005
3884,0.03,0.012,0,11100000_00010001,0.739408493,_M_00005
3885,0.03,-0.01,0,10100000_00010001,0.759403944,_M_00005
3886,0.03,-0.01,0,10100000_00010001,0.769393206,_M_00005
3887,0.03,0.01,0,11100000_00010001,0.789383173,_M_00005
3888,0.03,0.01,0,11100000_00010001,0.809374094,_M_00005
3889,0.03,0.006,0,11100000_00010001,0.819377661,_M_00005
3890,0.03,0.006,0,11100000_00010001,0.839361668,_M_00005
3891,0.03,0.012,0,11100000_00010001,0.859346151,_M_00005
3892,0.03,0.012,0,11100000_00010001,0.869340181,_M_00005
3893,0.03,0.008,0,11100000_00010001,0.889329672,_M_00005
3894,0.03,0.008,0,11100000_00010001,0.90932107,_M_00005
3895,0.03,0.008,0,11100000_00010001,0.919317007,_M_00005
3896,0.03,0.01,0,11100000_00010001,0.939302683,_M_00005
3897,0.03,0.008,0,11100000_00010001,0.959297657,_M_00005
3898,0.03,0.008,0,11100000_00010001,0.969289541,_M_00005
3899,0.03,0.01,0,11100000_00010001,0.989276648,_M_00005
3900,0.03,0.01,0,11100000_00010001,1.009265423,_M_00005
3901,0.03,0.01,0,11100000_00010001,1.019260883,_M_00005
3902,0.03,0.01,0,11100000_00010001,1.039248228,_M_00005
3903,0.03,0.01,0,11100000_00010001,1.059239626,_M_00005
3904,0.03,0.01,0,11100000_00010001,1.069233418,_M_00005
3905,0.03,0.01,0,11100000_00010001,1.089222193,_M_00005
3906,0.03,0.008,0,11100000_00010001,1.10921073,_M_00005
3907,0.03,0.008,0,11100000_00010001,1.119204044,_M_00005
3908,0.03,0.012,0,11100000_00010001,1.13919425,_M_00005
3909,0.03,0.01,0,11100000_00010001,1.159189224,_M_00005
3910,0.03,0.01,0,11100000_00010001,1.169191122,_M_00005
3911,0.03,0.008,0,11100000_00010001,1.189169884,_M_00005
3912,0.03,0.008,0,11100000_00010001,1.209158659,_M_00005
3913,0.03,0.01,0,11100000_00010001,1.219151497,_M_00005
3914,0.03,0.01,0,11100000_00010001,1.239143372,_M_00005
3915,0.03,0.008,0,11100000_00010001,1.25913167,_M_00005
3916,0.03,0.008,0,11100000_00010001,1.269126654,_M_00005
3917,0.03,0.008,0,11100000_00010001,1.289116144,_M_00005
3918,0.03,0.012,0,11100000_00010001,1.309104919,_M_00005
3919,0.03,0.012,0,11100000_00010001,1.319097996,_M_00005
3920,0.01,0.01,0,11100000_00010001,1.33908844,_M_00005
3921,0.03,0.008,0,11100000_00010001,1.359079123,_M_00005
