,volts,amps,power,sysstatus,timestamp,M_ID
3720,0.03,0.008,0,11100000_00010001,0.00988698,_M_00005
3721,0.01,0.01,0,11100000_00010001,0.019666433,_M_00005
3722,0.01,0.01,0,11100000_00010001,0.039663076,_M_00005
3723,0.03,0.012,0,11100000_00010001,0.05965209,_M_00005
3724,0.03,0.012,0,11100000_00010001,0.069651604,_M_00005
3725,0.03,0.01,0,11100000_00010001,0.089636564,_M_00005
3726,-0.03,0.008,0,11000000_00010001,0.109627008,_M_00005
3727,-0.03,0.008,0,11000000_00010001,0.119620085,_M_00005
3728,0.03,0.012,0,11100000_00010001,0.139609098,_M_00005
3729,0.03,0.012,0,11100000_00010001,0.159596682,_M_00005
3730,0.03,0.012,0,11100000_00010001,0.169593573,_M_00005
3731,0.03,0.012,0,11100000_00010001,0.189584017,_M_00005
3732,0.03,0.012,0,11100000_00010001,0.209570885,_M_00005
3733,0.01,0.01,0,11100000_00010001,0.219567776,_M_00005
3734,0.01,0.01,0,11100000_00010001,0.239554882,_M_00005
3735,0.03,0.01,0,11100000_00010001,0.259543896,_M_00005
3736,0.03,0.01,0,11100000_00010001,0.269542217,_M_00005
3737,0.03,0.008,0,11100000_00010001,0.289527416,_M_00005
3738,0.03,0.01,0,11100000_00010001,0.309527874,_M_00005
3739,0.03,0.01,0,11100000_00010001,0.319511175,_M_00005
3740,0.03,0.01,0,11100000_00010001,0.339500904,_M_00005
3741,0.03,0.012,0,11100000_00010001,0.359490633,_M_00005
3742,0.03,0.012,0,11100000_00010001,0.369484901,_M_00005
3743,0.03,0.01,0,11100000_00010001,0.38948679,_M_00005
3744,0.03,0.01,0,11100000_00010001,0.409464121,_M_00005
3745,0.03,-0.01,0,10100000_00010001,0.419459581,_M_00005
3746,0.03,-0.01,0,10100000_00010001,0.439448118,_M_00005
3747,0.03,0.012,0,11100000_00010001,0.459447145,_M_00005
3748,0.03,0.012,0,11100000_00010001,0.469435453,_M_00005
3749,0.03,0.01,0,11100000_00010001,0.489430666,_M_00005
3750,0.03,0.01,0,11100000_00010001,0.509412766,_M_00005
3751,0.03,0.01,0,11100000_00010001,0.519406319,_M_00005
3752,0.03,0.01,0,11100000_00010001,0.539391041,_M_00005
3753,0.03,0.012,0,11100000_00010001,0.559380293,_M_00005
3754,0.03,0.012,0,11100000_00010001,0.569375277,_M_00005
3755,0.03,0.01,0,11100000_00010001,0.589361668,_M_00005
3756,0.03,0.01,0,11100000_00010001,0.609352112,_M_00005
3757,0.03,0.01,0,11100000_00010001,0.619348764,_M_00005
3758,0.03,0.01,0,11100000_00010001,0.639335394,_M_00005
3759,0.03,0.01,0,11100000_00010001,0.659324884,_M_00005
3760,0.03,0.012,0,11100000_00010001,0.669323206,_M_00005
3761,0.03,0.012,0,11100000_00010001,0.689310789,_M_00005
3762,0.03,0.01,0,11100000_00010001,0.709298372,_M_00005
3763,0.03,0.01,0,11100000_00010001,0.719293356,_M_00005
3764,0.03,0.008,0,11100000_00010001,0.739282131,_M_00005
3765,0.03,0.012,0,11100000_00010001,0.759271145,_M_00005
3766,0.03,0.012,0,11100000_00010001,0.769268751,_M_00005
3767,0.03,0.012,0,11100000_00010001,0.789257526,_M_00005
3768,0.03,0.012,0,11100000_00010001,0.809244871,_M_00005
3769,0.03,0.01,0,11100000_00010001,0.819204807,_M_00005
3770,0.03,0.01,0,11100000_00010001,0.839228868,_M_00005
3771,0.03,0.012,0,11100000_00010001,0.859218597,_M_00005
3772,0.03,0.01,0,11100000_00010001,0.869214058,_M_00005
3773,0.03,0.01,0,11100000_00010001,0.889202833,_M_00005
3774,0.03,0.012,0,11100000_00010001,0.909193754,_M_00005
3775,0.03,0.012,0,11100000_00010001,0.919187307,_M_00005
3776,0.03,0.014,0,11100000_00010001,0.939176083,_M_00005
3777,0.03,0.01,0,11100000_00010001,0.959165335,_M_00005
3778,0.03,0.01,0,11100000_00010001,0.969159365,_M_00005
3779,0.03,0.01,0,11100000_00010001,0.989150524,_M_00005
3780,0.03,0.01,0,11100000_00010001,1.009138346,_M_00005
3781,0.03,0.012,0,11100000_00010001,1.019133568,_M_00005
3782,-0.03,0.012,0,11000000_00010001,1.039121628,_M_00005
3783,-0.03,0.012,0,11000000_00010001,1.059111834,_M_00005
3784,0.03,0.01,0,11100000_00010001,1.069108725,_M_00005
3785,0.03,0.01,0,11100000_00010001,1.0890975,_M_00005
3786,0.03,0.012,0,11100000_00010001,1.10908699,_M_00005
3787,0.03,0.012,0,11100000_00010001,1.119080305,_M_00005
3788,0.03,0.01,0,11100000_00010001,1.13906908,_M_00005
3789,0.03,0.012,0,11100000_00010001,1.159058809,_M_00005
3790,0.03,0.012,0,11100000_00010001,1.169043779,_M_00005
3791,0.03,0.01,0,11100000_00010001,1.189041615,_M_00005
3792,0.03,0.01,0,11100000_00010001,1.209031343,_M_00005
3793,0.03,0.01,0,11100000_00010001,1.219028234,_M_00005
3794,0.03,0.012,0,11100000_00010001,1.239023447,_M_00005
3795,0.03,0.012,0,11100000_00010001,1.25900507,_M_00005
3796,0.03,0.01,0,11100000_00010001,1.269009829,_M_00005
3797,0.03,0.01,0,11100000_00010001,1.28898716,_M_00005
3798,0.03,0.012,0,11100000_00010001,1.30897522,_M_00005
3799,0.03,0.012,0,11100000_00010001,1.318971157,_M_00005
3800,0.03,0.01,0,11100000_00010001,1.338974476,_M_00005
3801,0.03,0.012,0,11100000_00010001,1.35895586,_M_00005
3802,0.03,0.012,0,11100000_00010001,1.368913651,_M_00005
3803,0.03,0.01,0,11100000_00010001,1.388894558,_M_00005
3804,0.03,0.008,0,11100000_00010001,1.408926487,_M_00005
3805,0.03,0.008,0,11100000_00010001,1.418928623,_M_00005
3806,0.03,0.01,0,11100000_00010001,1.438911438,_M_00005
3807,0.03,0.01,0,11100000_00010001,1.458888769,_M_00005
3808,0.03,0.01,0,11100000_00010001,1.468899965,_M_00005
3809,0.03,0.01,0,11100000_00010001,1.488885403,_M_00005
3810,0.03,0.012,0,11100000_00010001,1.508875847,_M_00005
3811,0.03,0.012,0,11100000_00010001,1.518869162,_M_00005
3812,0.03,0.01,0,11100000_00010001,1.538859367,_M_00005
3813,0.03,0.014,0,11100000_00010001,1.558849335,_M_00005
3814,0.03,0.014,0,11100000_00010001,1.568840265,_M_00005
3815,0.03,0.012,0,11100000_00010001,1.588829994,_M_00005
3816,0.03,0.012,0,11100000_00010001,1.608818293,_M_00005
3817,0.03,0.012,0,11100000_00010001,1.618813038,_M_00005
3818,0.01,0.012,0,11100000_00010001,1.638803959,_M_00005
3819,0.01,0.012,0,11100000_00010001,1.658789396,_M_00005
3820,0.03,0.012,0,11100000_00010001,1.668783903,_M_00005
3821,0.03,0.012,0,11100000_00010001,1.688774824,_M_00005
3822,0.03,0.01,0,11100000_00010001,1.708770514,_M_00005
3823,0.03,0.01,0,11100000_00010001,1.718763351,_M_00005
3824,0.03,0.01,0,11100000_00010001,1.738745928,_M_00005
3825,0.03,0.008,0,11100000_00010001,1.758737326,_M_00005
3826,0.03,0.008,0,11100000_00010001,1.768732071,_M_00005
3827,-0.03,0.01,0,11000000_00010001,1.78872323,_M_00005
3828,0.03,0.01,0,11100000_00010001,1.808669329,_M_00005
3829,0.03,0.01,0,11100000_00010001,1.81870532,_M_00005
