,volts,amps,power,sysstatus,timestamp,M_ID
7080,115.45,0.045,0.4,01100000_00110010,0.015987158,_M_00005
7081,115.45,0.045,0.4,01100000_00110010,0.02099967,_M_00005
7082,115.45,0.043,0.1,01100000_00110010,0.037958384,_M_00005
7083,115.45,0.043,0.4,01100000_00110010,0.054917574,_M_00005
7084,115.51,0.041,0.3,01100000_00110010,0.07085824,_M_00005
7085,115.42,0.043,0.5,01100000_00110010,0.087802172,_M_00005
7086,115.4,0.043,0.2,01100000_00110010,0.104752064,_M_00005
7087,115.47,0.045,0.1,01100000_00110010,0.120715857,_M_00005
7088,115.47,0.045,0,01100000_00110010,0.137625694,_M_00005
7089,115.47,0.043,0.3,01100000_00110010,0.154569149,_M_00005
7090,115.49,0.045,0.7,01100000_00110010,0.171514034,_M_00005
7091,115.49,0.048,0.4,01100000_00110010,0.187456846,_M_00005
7092,115.42,0.043,0.4,01100000_00110010,0.204377413,_M_00005
7093,115.49,0.039,0.4,01100000_00110010,0.22131896,_M_00005
7094,115.42,0.043,0.1,01100000_00110010,0.238263607,_M_00005
7095,115.47,0.045,0.3,01100000_00110010,0.25420928,_M_00005
7096,115.47,0.043,0.3,01100000_00110010,0.271155596,_M_00005
7097,115.47,0.045,0.3,01100000_00110010,0.288095951,_M_00005
7098,115.47,0.045,0.5,01100000_00110010,0.304056168,_M_00005
7099,115.4,0.043,0,01100000_00110010,0.320984125,_M_00005
7100,115.47,0.045,0.6,01100000_00110010,0.337929726,_M_00005
7101,115.47,0.045,0.6,01100000_00110010,0.354874372,_M_00005
7102,115.38,0.043,0.7,01100000_00110010,0.370816469,_M_00005
7103,115.47,0.043,0.3,01100000_00110010,0.387769938,_M_00005
7104,115.47,0.043,0.1,01100000_00110010,0.404629946,_M_00005
7105,115.45,0.043,0,01100000_00110010,0.420624018,_M_00005
7106,115.45,0.041,0.5,01100000_00110010,0.43759346,_M_00005
7107,115.45,0.043,0.2,01100000_00110010,0.454535484,_M_00005
7108,115.45,0.043,0.4,01100000_00110010,0.471480131,_M_00005
7109,115.47,0.043,0.6,01100000_00110010,0.487426043,_M_00005
7110,115.38,0.043,0.3,01100000_00110010,0.504368067,_M_00005
7111,115.45,0.041,0,01100000_00110010,0.521322727,_M_00005
7112,115.47,0.043,0.5,01100000_00110010,0.538256645,_M_00005
7113,115.47,0.045,0.5,01100000_00110010,0.554201603,_M_00005
7114,115.45,0.045,0.1,01100000_00110010,0.571148157,_M_00005
7115,115.45,0.045,0.1,01100000_00110010,0.588098526,_M_00005
7116,115.47,0.043,0.3,01100000_00110010,0.604034424,_M_00005
7117,115.4,0.041,0.5,01100000_00110010,0.620990753,_M_00005
7118,115.47,0.043,0.2,01100000_00110010,0.637929916,_M_00005
7119,115.45,0.045,0.6,01100000_00110010,0.654866695,_M_00005
7120,115.47,0.045,0.5,01100000_00110010,0.670812368,_M_00005
7121,115.47,0.043,0.2,01100000_00110010,0.687754631,_M_00005
7122,115.47,0.041,0,01100000_00110010,0.704636812,_M_00005
7123,115.49,0.039,0.3,01100000_00110010,0.721648455,_M_00005
7124,115.49,0.043,0.1,01100000_00110010,0.73758769,_M_00005
7125,115.47,0.041,0.5,01100000_00110010,0.754537582,_M_00005
7126,115.49,0.043,0.4,01100000_00110010,0.7714715,_M_00005
7127,115.49,0.045,0.3,01100000_00110010,0.787417412,_M_00005
7128,115.49,0.043,0.1,01100000_00110010,0.804363251,_M_00005
7129,115.47,0.045,0.2,01100000_00110010,0.821305037,_M_00005
7130,115.49,0.043,0.4,01100000_00110010,0.838245869,_M_00005
7131,115.49,0.045,0.3,01100000_00110010,0.854204178,_M_00005
7132,115.49,0.043,0,01100000_00110010,0.87113595,_M_00005
7133,115.49,0.041,0.1,01100000_00110010,0.888085365,_M_00005
7134,115.51,0.045,0.4,01100000_00110010,0.90403676,_M_00005
7135,115.51,0.045,0.1,01100000_00110010,0.920981646,_M_00005
7136,115.44,0.045,0.3,01100000_00110010,0.937913179,_M_00005
7137,115.51,0.043,0.4,01100000_00110010,0.954862118,_M_00005
