,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
0,116.71,0.004,0.0,01100000_00000010,0.004641294479370117,_M_00004,0
1,116.71,0.006,0.1,01100000_00010010,0.037770748138427734,_M_00004,0
2,116.69,0.006,0.1,01100000_00110010,0.07112526893615723,_M_00004,0
3,116.73,0.006,0.0,01100000_00000010,0.10446739196777344,_M_00004,0
4,116.69,0.006,0.0,01100000_00110010,0.1426553726196289,_M_00004,0
5,116.68,0.004,0.0,01100000_00010010,0.17587494850158691,_M_00004,0
6,116.69,0.006,0.0,01100000_00010010,0.20907902717590332,_M_00004,0
7,116.69,0.006,-0.1,01100000_00100010,0.24241995811462402,_M_00004,0
8,116.68,0.006,0.1,01100000_00010010,0.2756226062774658,_M_00004,0
9,116.73,0.004,0.0,01100000_00100010,0.30883121490478516,_M_00004,0
10,116.68,0.006,0.3,01100000_00010010,0.34205102920532227,_M_00004,0
11,116.68,0.006,0.0,01100000_00000010,0.37526893615722656,_M_00004,0
12,116.71,0.004,0.0,01100000_00110010,0.4084587097167969,_M_00004,0
13,116.68,0.006,0.0,01100000_00110010,0.44169139862060547,_M_00004,0
14,116.68,0.008,0.6,01100000_00110010,0.47487735748291016,_M_00004,0
15,116.69,0.004,0.0,01100000_00110010,0.5080862045288086,_M_00004,0
16,116.77,0.004,0.0,01100000_00000010,0.5413227081298828,_M_00004,0
17,116.66,0.006,0.0,01100000_00110010,0.5745217800140381,_M_00004,0
18,116.71,0.004,0.0,01100000_00110010,0.6076955795288086,_M_00004,0
19,116.66,0.006,-0.2,01100000_00100010,0.6409249305725098,_M_00004,0
20,116.68,0.004,0.0,01100000_00110010,0.6741230487823486,_M_00004,0
21,116.68,0.006,-0.2,01100000_00000010,0.7072844505310059,_M_00004,0
22,116.68,0.006,0.0,01100000_00000010,0.740487813949585,_M_00004,0
23,116.66,0.004,0.2,01100000_00010010,0.7736976146697998,_M_00004,0
24,116.68,0.006,0.0,01100000_00110010,0.8068957328796387,_M_00004,0
25,116.69,0.004,0.0,01100000_00000010,0.8401224613189697,_M_00004,0
26,116.66,0.004,0.0,01100000_00100010,0.8733079433441162,_M_00004,0
27,116.69,0.004,0.2,01100000_00010010,0.9065163135528564,_M_00004,0
28,116.69,0.006,-0.1,01100000_00100010,0.9396886825561523,_M_00004,0
29,116.69,0.006,0.3,01100000_00110010,0.9728977680206299,_M_00004,0
30,115.94,0.008,0.0,01100000_00010010,0.004641294479370117,_M_00002,0
31,116.07,0.008,0.0,01100000_00000010,0.037770748138427734,_M_00002,0
32,115.99,0.008,0.3,01100000_00010010,0.07112526893615723,_M_00002,0
33,115.99,0.006,-0.1,01100000_00000010,0.10446739196777344,_M_00002,0
34,115.94,0.004,-0.2,01100000_00000010,0.1426553726196289,_M_00002,0
35,115.96,0.006,-0.1,01100000_00100010,0.17587494850158691,_M_00002,0
36,115.96,0.006,0.0,01100000_00010010,0.20907902717590332,_M_00002,0
37,116.01,0.008,-0.2,01100000_00000010,0.24241995811462402,_M_00002,0
38,115.99,0.006,-0.4,01100000_00100010,0.2756226062774658,_M_00002,0
39,116.01,0.008,0.2,01100000_00110010,0.30883121490478516,_M_00002,0
40,116.03,0.006,0.0,01100000_00000010,0.34205102920532227,_M_00002,0
41,116.01,0.006,0.2,01100000_00010010,0.37526893615722656,_M_00002,0
42,115.99,0.006,-0.4,01100000_00100010,0.4084587097167969,_M_00002,0
43,116.05,0.006,0.2,01100000_00110010,0.44169139862060547,_M_00002,0
44,115.88,0.008,-0.1,01100000_00100010,0.47487735748291016,_M_00002,0
45,115.96,0.008,0.3,01100000_00010010,0.5080862045288086,_M_00002,0
46,116.01,0.008,0.0,01100000_00110010,0.5413227081298828,_M_00002,0
47,115.94,0.008,-0.4,01100000_00100010,0.5745217800140381,_M_00002,0
