"{'083AF294BC80': (4, ['_M_00004']), '7C9EBD07EDAC': (3, ['_M_00002']), '4CEBD6579420': (2, ['_M_00005']), 'A8032A18DB18': (1, ['_M_00001'])}"
,v12PortStatus,usbPortStatus,acPortStatus,socPercent,Yeti_ID,cycle,packet_num,channel
0,0,0,1,97,083AF294BC80,1,0,13
1,0,0,1,86,7C9EBD07EDAC,1,0,5
2,0,0,1,85,4CEBD6579420,1,0,9
3,0,0,1,51,A8032A18DB18,1,0,1
0,0,0,1,97,083AF294BC80,2,150,11
1,0,0,1,85,7C9EBD07EDAC,2,150,3
2,0,0,1,85,4CEBD6579420,2,150,15
3,0,0,1,51,A8032A18DB18,2,150,7
4,0,0,1,97,083AF294BC80,2,149,11
5,0,0,1,85,7C9EBD07EDAC,2,149,3
6,0,0,1,85,4CEBD6579420,2,149,15
7,0,0,1,51,A8032A18DB18,2,149,7
8,0,0,1,97,083AF294BC80,2,148,11
9,0,0,1,85,7C9EBD07EDAC,2,148,3
10,0,0,1,85,4CEBD6579420,2,148,15
11,0,0,1,51,A8032A18DB18,2,148,7
12,0,0,1,97,083AF294BC80,2,147,11
13,0,0,1,85,7C9EBD07EDAC,2,147,3
14,0,0,1,85,4CEBD6579420,2,147,15
15,0,0,1,51,A8032A18DB18,2,147,7
16,0,0,1,97,083AF294BC80,2,146,11
17,0,0,1,85,7C9EBD07EDAC,2,146,3
18,0,0,1,85,4CEBD6579420,2,146,15
19,0,0,1,51,A8032A18DB18,2,146,7
20,0,0,1,97,083AF294BC80,2,145,11
21,0,0,1,85,7C9EBD07EDAC,2,145,3
22,0,0,1,85,4CEBD6579420,2,145,15
23,0,0,1,51,A8032A18DB18,2,145,7
24,0,0,1,97,083AF294BC80,2,144,11
25,0,0,1,85,7C9EBD07EDAC,2,144,3
26,0,0,1,85,4CEBD6579420,2,144,15
27,0,0,1,51,A8032A18DB18,2,144,7
28,0,0,1,97,083AF294BC80,2,143,11
29,0,0,1,85,7C9EBD07EDAC,2,143,3
30,0,0,1,85,4CEBD6579420,2,143,15
31,0,0,1,51,A8032A18DB18,2,143,7
32,0,0,1,97,083AF294BC80,1,142,11
33,0,0,1,85,7C9EBD07EDAC,1,142,3
34,0,0,1,85,4CEBD6579420,1,142,15
35,0,0,1,51,A8032A18DB18,1,142,7
36,0,0,1,97,083AF294BC80,1,141,11
37,0,0,1,85,7C9EBD07EDAC,1,141,3
38,0,0,1,85,4CEBD6579420,1,141,15
39,0,0,1,51,A8032A18DB18,1,141,7
40,0,0,1,97,083AF294BC80,1,140,11
41,0,0,1,85,7C9EBD07EDAC,1,140,3
42,0,0,1,85,4CEBD6579420,1,140,15
43,0,0,1,51,A8032A18DB18,1,140,7
44,0,0,1,97,083AF294BC80,1,139,11
45,0,0,1,85,7C9EBD07EDAC,1,139,3
46,0,0,1,85,4CEBD6579420,1,139,15
47,0,0,1,51,A8032A18DB18,1,139,7
48,0,0,1,97,083AF294BC80,1,138,11
49,0,0,1,85,7C9EBD07EDAC,1,138,3
50,0,0,1,85,4CEBD6579420,1,138,15
51,0,0,1,51,A8032A18DB18,1,138,7
52,0,0,1,97,083AF294BC80,1,137,11
53,0,0,1,85,7C9EBD07EDAC,1,137,3
54,0,0,1,85,4CEBD6579420,1,137,15
55,0,0,1,51,A8032A18DB18,1,137,7
56,0,0,1,97,083AF294BC80,1,136,11
57,0,0,1,85,7C9EBD07EDAC,1,136,3
58,0,0,1,85,4CEBD6579420,1,136,15
59,0,0,1,51,A8032A18DB18,1,136,7
60,0,0,1,97,083AF294BC80,1,135,11
61,0,0,1,85,7C9EBD07EDAC,1,135,3
62,0,0,1,85,4CEBD6579420,1,135,15
63,0,0,1,51,A8032A18DB18,1,135,7
64,0,0,1,97,083AF294BC80,1,134,11
65,0,0,1,85,7C9EBD07EDAC,1,134,3
66,0,0,1,85,4CEBD6579420,1,134,15
67,0,0,1,51,A8032A18DB18,1,134,7
68,0,0,1,97,083AF294BC80,1,133,11
69,0,0,1,85,7C9EBD07EDAC,1,133,3
70,0,0,1,85,4CEBD6579420,1,133,15
71,0,0,1,51,A8032A18DB18,1,133,7
72,0,0,1,97,083AF294BC80,1,132,11
73,0,0,1,85,7C9EBD07EDAC,1,132,3
74,0,0,1,85,4CEBD6579420,1,132,15
75,0,0,1,51,A8032A18DB18,1,132,7
76,0,0,1,97,083AF294BC80,2,131,10
77,0,0,1,85,7C9EBD07EDAC,2,131,2
78,0,0,1,85,4CEBD6579420,2,131,14
79,0,0,1,51,A8032A18DB18,2,131,6
80,0,0,1,97,083AF294BC80,2,130,10
81,0,0,1,85,7C9EBD07EDAC,2,130,2
82,0,0,1,85,4CEBD6579420,2,130,14
83,0,0,1,51,A8032A18DB18,2,130,6
84,0,0,1,97,083AF294BC80,2,129,10
85,0,0,1,85,7C9EBD07EDAC,2,129,2
86,0,0,1,85,4CEBD6579420,2,129,14
87,0,0,1,51,A8032A18DB18,2,129,6
88,0,0,1,97,083AF294BC80,2,128,10
89,0,0,1,85,7C9EBD07EDAC,2,128,2
90,0,0,1,85,4CEBD6579420,2,128,14
91,0,0,1,51,A8032A18DB18,2,128,6
92,0,0,1,97,083AF294BC80,2,127,10
93,0,0,1,86,7C9EBD07EDAC,2,127,2
94,0,0,1,85,4CEBD6579420,2,127,14
95,0,0,1,51,A8032A18DB18,2,127,6
96,0,0,1,97,083AF294BC80,2,126,10
97,0,0,1,86,7C9EBD07EDAC,2,126,2
98,0,0,1,85,4CEBD6579420,2,126,14
99,0,0,1,51,A8032A18DB18,2,126,6
100,0,0,1,97,083AF294BC80,2,125,10
101,0,0,1,86,7C9EBD07EDAC,2,125,2
102,0,0,1,85,4CEBD6579420,2,125,14
103,0,0,1,51,A8032A18DB18,2,125,6
104,0,0,1,97,083AF294BC80,2,124,10
105,0,0,1,86,7C9EBD07EDAC,2,124,2
106,0,0,1,85,4CEBD6579420,2,124,14
107,0,0,1,51,A8032A18DB18,2,124,6
108,0,0,1,97,083AF294BC80,2,123,10
109,0,0,1,86,7C9EBD07EDAC,2,123,2
110,0,0,1,85,4CEBD6579420,2,123,14
111,0,0,1,51,A8032A18DB18,2,123,6
112,0,0,1,97,083AF294BC80,2,122,10
113,0,0,1,86,7C9EBD07EDAC,2,122,2
