"{'083AF294BC80': (4, ['_M_00004']), '7C9EBD07EDAC': (3, ['_M_00002']), '4CEBD6579420': (2, ['_M_00005']), 'A8032A18DB18': (1, ['_M_00001'])}"
,v12PortStatus,usbPortStatus,acPortStatus,socPercent,Yeti_ID,cycle,packet_num,channel
0,0,0,0,97,083AF294BC80,1,0,13
1,0,0,1,85,7C9EBD07EDAC,1,0,5
2,0,0,0,84,4CEBD6579420,1,0,9
3,0,0,0,51,A8032A18DB18,1,0,1
0,0,0,0,97,083AF294BC80,2,150,9
1,0,0,2,85,7C9EBD07EDAC,2,150,1
2,0,0,0,84,4CEBD6579420,2,150,13
3,0,0,0,51,A8032A18DB18,2,150,5
4,0,0,0,97,083AF294BC80,2,149,9
5,0,0,2,85,7C9EBD07EDAC,2,149,1
6,0,0,0,84,4CEBD6579420,2,149,13
7,0,0,0,51,A8032A18DB18,2,149,5
8,0,0,0,97,083AF294BC80,2,148,9
9,0,0,1,85,7C9EBD07EDAC,2,148,1
10,0,0,0,84,4CEBD6579420,2,148,13
11,0,0,0,51,A8032A18DB18,2,148,5
12,0,0,0,97,083AF294BC80,2,147,9
13,0,0,1,85,7C9EBD07EDAC,2,147,1
14,0,0,0,84,4CEBD6579420,2,147,13
15,0,0,0,51,A8032A18DB18,2,147,5
16,0,0,0,97,083AF294BC80,2,146,9
17,0,0,1,85,7C9EBD07EDAC,2,146,1
18,0,0,0,84,4CEBD6579420,2,146,13
19,0,0,0,51,A8032A18DB18,2,146,5
20,0,0,0,97,083AF294BC80,2,145,9
21,0,0,1,85,7C9EBD07EDAC,2,145,1
22,0,0,0,84,4CEBD6579420,2,145,13
23,0,0,0,51,A8032A18DB18,2,145,5
24,0,0,0,97,083AF294BC80,2,144,9
25,0,0,1,85,7C9EBD07EDAC,2,144,1
26,0,0,0,84,4CEBD6579420,2,144,13
27,0,0,0,51,A8032A18DB18,2,144,5
28,0,0,0,97,083AF294BC80,1,143,9
29,0,0,2,85,7C9EBD07EDAC,1,143,1
30,0,0,0,84,4CEBD6579420,1,143,13
31,0,0,0,51,A8032A18DB18,1,143,5
32,0,0,0,97,083AF294BC80,1,142,9
33,0,0,2,85,7C9EBD07EDAC,1,142,1
34,0,0,0,84,4CEBD6579420,1,142,13
35,0,0,0,51,A8032A18DB18,1,142,5
36,0,0,0,97,083AF294BC80,1,141,9
37,0,0,2,85,7C9EBD07EDAC,1,141,1
38,0,0,0,84,4CEBD6579420,1,141,13
39,0,0,0,51,A8032A18DB18,1,141,5
40,0,0,0,97,083AF294BC80,1,140,9
41,0,0,2,85,7C9EBD07EDAC,1,140,1
42,0,0,0,84,4CEBD6579420,1,140,13
43,0,0,0,51,A8032A18DB18,1,140,5
44,0,0,0,97,083AF294BC80,1,139,9
45,0,0,2,85,7C9EBD07EDAC,1,139,1
46,0,0,0,84,4CEBD6579420,1,139,13
47,0,0,0,51,A8032A18DB18,1,139,5
48,0,0,0,97,083AF294BC80,1,138,9
49,0,0,2,85,7C9EBD07EDAC,1,138,1
50,0,0,0,84,4CEBD6579420,1,138,13
51,0,0,0,51,A8032A18DB18,1,138,5
52,0,0,0,97,083AF294BC80,1,137,9
53,0,0,2,85,7C9EBD07EDAC,1,137,1
54,0,0,0,84,4CEBD6579420,1,137,13
55,0,0,0,51,A8032A18DB18,1,137,5
56,0,0,0,97,083AF294BC80,1,136,9
57,0,0,2,85,7C9EBD07EDAC,1,136,1
58,0,0,0,84,4CEBD6579420,1,136,13
59,0,0,0,51,A8032A18DB18,1,136,5
60,0,0,0,97,083AF294BC80,1,135,9
61,0,0,2,85,7C9EBD07EDAC,1,135,1
62,0,0,0,84,4CEBD6579420,1,135,13
63,0,0,0,51,A8032A18DB18,1,135,5
64,0,0,0,97,083AF294BC80,1,134,9
65,0,0,2,85,7C9EBD07EDAC,1,134,1
66,0,0,0,84,4CEBD6579420,1,134,13
67,0,0,0,51,A8032A18DB18,1,134,5
68,0,0,0,97,083AF294BC80,1,133,9
69,0,0,2,85,7C9EBD07EDAC,1,133,1
70,0,0,0,84,4CEBD6579420,1,133,13
71,0,0,0,51,A8032A18DB18,1,133,5
72,0,0,0,97,083AF294BC80,1,132,9
73,0,0,2,85,7C9EBD07EDAC,1,132,1
74,0,0,0,84,4CEBD6579420,1,132,13
75,0,0,0,51,A8032A18DB18,1,132,5
76,0,0,0,97,083AF294BC80,1,131,9
77,0,0,1,85,7C9EBD07EDAC,1,131,1
78,0,0,0,84,4CEBD6579420,1,131,13
79,0,0,0,51,A8032A18DB18,1,131,5
80,0,0,0,97,083AF294BC80,1,130,9
81,0,0,1,85,7C9EBD07EDAC,1,130,1
82,0,0,0,84,4CEBD6579420,1,130,13
83,0,0,0,51,A8032A18DB18,1,130,5
84,0,0,0,97,083AF294BC80,1,129,9
85,0,0,1,85,7C9EBD07EDAC,1,129,1
86,0,0,0,84,4CEBD6579420,1,129,13
87,0,0,0,51,A8032A18DB18,1,129,5
88,0,0,0,97,083AF294BC80,1,128,9
89,0,0,1,85,7C9EBD07EDAC,1,128,1
90,0,0,0,84,4CEBD6579420,1,128,13
91,0,0,0,51,A8032A18DB18,1,128,5
92,0,0,0,97,083AF294BC80,2,127,16
93,0,0,1,85,7C9EBD07EDAC,2,127,8
94,0,0,0,84,4CEBD6579420,2,127,12
95,0,0,0,51,A8032A18DB18,2,127,4
96,0,0,0,97,083AF294BC80,2,126,16
97,0,0,1,85,7C9EBD07EDAC,2,126,8
98,0,0,0,84,4CEBD6579420,2,126,12
99,0,0,0,51,A8032A18DB18,2,126,4
100,0,0,0,97,083AF294BC80,2,125,16
101,0,0,1,85,7C9EBD07EDAC,2,125,8
102,0,0,0,84,4CEBD6579420,2,125,12
103,0,0,0,51,A8032A18DB18,2,125,4
104,0,0,0,97,083AF294BC80,2,124,16
105,0,0,1,85,7C9EBD07EDAC,2,124,8
106,0,0,0,84,4CEBD6579420,2,124,12
107,0,0,0,51,A8032A18DB18,2,124,4
108,0,0,0,97,083AF294BC80,2,123,16
109,0,0,1,85,7C9EBD07EDAC,2,123,8
110,0,0,0,84,4CEBD6579420,2,123,12
111,0,0,0,51,A8032A18DB18,2,123,4
112,0,0,0,97,083AF294BC80,2,122,16
113,0,0,1,85,7C9EBD07EDAC,2,122,8
114,0,0,0,84,4CEBD6579420,2,122,12
115,0,0,0,51,A8032A18DB18,2,122,4
116,0,0,0,97,083AF294BC80,2,121,16
117,0,0,1,85,7C9EBD07EDAC,2,121,8
118,0,0,0,84,4CEBD6579420,2,121,12
119,0,0,0,51,A8032A18DB18,2,121,4
120,0,0,0,97,083AF294BC80,2,120,16
121,0,0,1,85,7C9EBD07EDAC,2,120,8
122,0,0,0,84,4CEBD6579420,2,120,12
123,0,0,0,51,A8032A18DB18,2,120,4
124,0,0,0,97,083AF294BC80,2,119,16
125,0,0,1,85,7C9EBD07EDAC,2,119,8
126,0,0,0,84,4CEBD6579420,2,119,12
127,0,0,0,51,A8032A18DB18,2,119,4
128,0,0,0,97,083AF294BC80,2,118,16
129,0,0,1,85,7C9EBD07EDAC,2,118,8
130,0,0,0,84,4CEBD6579420,2,118,12
131,0,0,0,51,A8032A18DB18,2,118,4
132,0,0,0,97,083AF294BC80,2,117,16
133,0,0,1,85,7C9EBD07EDAC,2,117,8
134,0,0,0,84,4CEBD6579420,2,117,12
135,0,0,0,51,A8032A18DB18,2,117,4
136,0,0,0,97,083AF294BC80,2,116,16
137,0,0,1,85,7C9EBD07EDAC,2,116,8
138,0,0,0,84,4CEBD6579420,2,116,12
139,0,0,0,51,A8032A18DB18,2,116,4
140,0,0,0,97,083AF294BC80,2,115,16
141,0,0,1,85,7C9EBD07EDAC,2,115,8
142,0,0,0,84,4CEBD6579420,2,115,12
143,0,0,0,51,A8032A18DB18,2,115,4
144,0,0,0,97,083AF294BC80,2,114,16
145,0,0,1,85,7C9EBD07EDAC,2,114,8
146,0,0,0,84,4CEBD6579420,2,114,12
147,0,0,0,51,A8032A18DB18,2,114,4
148,0,0,0,97,083AF294BC80,2,113,16
149,0,0,1,85,7C9EBD07EDAC,2,113,8
150,0,0,0,84,4CEBD6579420,2,113,12
151,0,0,0,51,A8032A18DB18,2,113,4
152,0,0,0,97,083AF294BC80,2,112,16
153,0,0,1,85,7C9EBD07EDAC,2,112,8
154,0,0,0,84,4CEBD6579420,2,112,12
155,0,0,0,51,A8032A18DB18,2,112,4
156,0,0,0,97,083AF294BC80,1,111,16
157,0,0,1,85,7C9EBD07EDAC,1,111,8
158,0,0,0,84,4CEBD6579420,1,111,12
159,0,0,0,51,A8032A18DB18,1,111,4
160,0,0,0,97,083AF294BC80,1,110,16
161,0,0,1,85,7C9EBD07EDAC,1,110,8
162,0,0,0,84,4CEBD6579420,1,110,12
163,0,0,0,51,A8032A18DB18,1,110,4
164,0,0,0,97,083AF294BC80,1,109,16
165,0,0,1,85,7C9EBD07EDAC,1,109,8
166,0,0,0,84,4CEBD6579420,1,109,12
167,0,0,0,51,A8032A18DB18,1,109,4
168,0,0,0,97,083AF294BC80,1,108,16
169,0,0,1,85,7C9EBD07EDAC,1,108,8
170,0,0,0,84,4CEBD6579420,1,108,12
171,0,0,0,51,A8032A18DB18,1,108,4
172,0,0,0,97,083AF294BC80,1,107,16
173,0,0,1,85,7C9EBD07EDAC,1,107,8
174,0,0,0,84,4CEBD6579420,1,107,12
175,0,0,0,51,A8032A18DB18,1,107,4
