,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
0,116.03,0.004,0.2,01100000_00110010,0.0044765472412109375,_M_00002,0
1,116.01,0.004,0.0,01100000_00100010,0.020875215530395508,_M_00002,0
2,116.03,0.004,0.0,01100000_00110010,0.037537574768066406,_M_00002,0
3,116.03,0.004,0.2,01100000_00010010,0.05413222312927246,_M_00002,0
4,116.01,0.004,0.2,01100000_00110010,0.07074570655822754,_M_00002,0
5,116.1,0.004,0.2,01100000_00010010,0.08753156661987305,_M_00002,0
6,116.05,0.004,0.3,01100000_00010010,0.10419535636901855,_M_00002,0
7,115.99,0.002,-0.1,01100000_00000010,0.12082242965698242,_M_00002,0
8,116.01,0.002,0.0,01100000_00000010,0.1374340057373047,_M_00002,0
9,116.05,0.004,-0.1,01100000_00100010,0.15419554710388184,_M_00002,0
10,115.99,0.002,0.1,01100000_00010010,0.1708531379699707,_M_00002,0
11,116.08,0.004,0.1,01100000_00110010,0.18752408027648926,_M_00002,0
12,116.05,0.004,0.3,01100000_00010010,0.204118013381958,_M_00002,0
13,116.01,0.004,-0.1,01100000_00000010,0.22075653076171875,_M_00002,0
14,116.08,0.004,0.0,01100000_00110010,0.23752093315124512,_M_00002,0
15,116.05,0.002,-0.1,01100000_00000010,0.25418877601623535,_M_00002,0
16,116.01,0.002,-0.3,01100000_00000010,0.2708256244659424,_M_00002,0
17,116.08,0.004,0.4,01100000_00110010,0.2874431610107422,_M_00002,0
18,116.07,0.002,-0.1,01100000_00000010,0.30405282974243164,_M_00002,0
19,116.01,0.004,-0.2,01100000_00100010,0.3208611011505127,_M_00002,0
20,116.08,0.004,-0.2,01100000_00100010,0.3375263214111328,_M_00002,0
21,116.05,0.002,0.0,01100000_00100010,0.3541390895843506,_M_00002,0
22,116.1,0.004,-0.1,01100000_00100010,0.37081408500671387,_M_00002,0
23,116.01,0.002,0.0,01100000_00010010,0.38752055168151855,_M_00002,0
24,116.12,0.006,0.0,01100000_00110010,0.404193639755249,_M_00002,0
25,116.01,0.004,0.2,01100000_00010010,0.4208567142486572,_M_00002,0
26,116.1,0.004,0.1,01100000_00110010,0.4374656677246094,_M_00002,0
27,116.05,0.002,0.0,01100000_00010010,0.45406079292297363,_M_00002,0
28,116.01,0.004,0.2,01100000_00110010,0.4708545207977295,_M_00002,0
29,116.14,0.004,0.1,01100000_00010010,0.48752522468566895,_M_00002,0
30,116.05,0.002,0.0,01100000_00100010,0.5041782855987549,_M_00002,0
31,116.07,0.002,0.0,01100000_00110010,0.5208008289337158,_M_00002,0
32,116.03,0.006,0.0,01100000_00110010,0.537376880645752,_M_00002,0
33,116.05,0.004,-0.1,01100000_00100010,0.5542759895324707,_M_00002,0
34,116.03,0.004,0.0,01100000_00000010,0.5708625316619873,_M_00002,0
35,116.01,0.004,0.2,01100000_00110010,0.5874857902526855,_M_00002,0
